signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,12.0,open,-4.0,-6.5,05:30,정보부족
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,12.0,open,-4.0,-6.5,06:00,중립
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,11.21,open,2.77,0.27,06:30,강한매도
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,11.88,open,-3.03,-5.53,07:00,강한매수
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,11.6,open,-0.69,-3.19,07:30,중립
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,11.75,open,-1.96,-4.46,08:00,매수관심
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,11.74,open,-1.87,-4.37,08:30,중립
2026-05-27,2026-05-28,QTTB,74.4,강한매수,전고점돌파,-6.6,11.29,open,2.04,-0.46,09:00,매도주의
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.3518,open,-3.04,-5.54,05:30,정보부족
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.3492,open,-2.32,-4.82,06:00,중립
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.3313,open,2.96,0.46,06:30,매도주의
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.3421,open,-0.29,-2.79,07:00,중립
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.3449,open,-1.1,-3.6,07:30,매수관심
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.3363,open,1.43,-1.07,08:00,중립
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.331,open,3.05,0.55,08:30,중립
