ticker,date,ratio,prior7_%,fwd_oc_%,fwd_cc_%,fwd_oc_net_%
AMSS,2026-06-10,10.3,-30.2,4.1,5.6,1.6
AMST,2026-05-18,268.9,-13.6,-28.5,120.1,-31.0
AMST,2026-05-19,1126.9,96.6,24.5,17.3,22.0
AMST,2026-05-20,59.8,147.6,9.0,6.9,6.5
ANY,2026-06-01,954.5,118.5,-6.1,-2.7,-8.6
ANY,2026-06-02,99.8,102.6,46.8,44.5,44.3
ANY,2026-06-03,165.7,198.9,-8.8,-23.2,-11.3
APPS,2026-05-27,14.5,58.3,25.8,25.8,23.3
ARTL,2026-05-15,98.2,-33.8,-14.1,-20.7,-16.6
ARTL,2026-05-22,46.4,-48.5,-10.5,43.7,-13.0
ARTL,2026-05-26,38.5,-26.9,0.7,-20.5,-1.8
ASBP,2026-05-18,28.1,43.7,-5.5,-12.7,-8.0
ASBP,2026-06-12,131.6,-15.1,12.1,13.9,9.6
ASTN,2026-05-26,16.7,-58.0,-11.5,-16.3,-14.0
ATOS,2026-06-12,12.8,-47.7,-6.4,-4.5,-8.9
ATPC,2026-05-27,77.4,29.0,5.2,113.0,2.7
ATPC,2026-05-28,110.1,191.8,-13.5,-19.8,-16.0
ATYR,2026-05-12,12.2,-36.4,-27.1,-25.3,-29.6
ATYR,2026-05-13,11.2,-53.0,34.3,41.4,31.8
AUUD,2026-05-15,298.3,16.7,13.9,20.9,11.4
AUUD,2026-05-18,55.0,51.0,-24.9,-32.5,-27.4
AUUD,2026-06-04,28.3,-3.3,-11.2,-11.5,-13.7
AXIN,2026-05-26,32.4,1.5,0.1,0.1,-2.4
AZI,2026-06-11,18.5,42.2,0.0,7.1,-2.5
AZI,2026-06-12,14.1,55.1,3.5,7.2,1.0
BATL,2026-06-08,12.8,-11.7,0.0,-3.7,-2.5
BATL,2026-06-10,48.0,25.6,-28.3,-31.1,-30.8
BBCP,2026-06-04,12.7,3.8,-7.8,30.7,-10.3
BBCP,2026-06-05,35.7,32.5,1.2,3.5,-1.3
BCDA,2026-06-05,1657.2,14.4,-10.7,-10.7,-13.2
BCDA,2026-06-08,63.8,0.3,2.5,-6.6,-0.0
BCDA,2026-06-09,16.0,-7.6,-8.0,-5.8,-10.5
BCSS,2026-05-18,11.7,0.1,-0.1,0.2,-2.6
BCTX,2026-05-15,18.2,-27.2,7.7,10.9,5.2
BDTX,2026-05-20,12.3,22.4,0.6,-1.4,-1.9
BESS,2026-06-05,154.0,-20.5,-6.6,-3.7,-9.1
BESS,2026-06-09,15.3,18.1,-7.9,-19.8,-10.4
BGM,2026-05-15,33.5,16.6,-13.1,-20.1,-15.6
BGM,2026-06-10,26.2,33.1,-3.2,-19.6,-5.7
BIYA,2026-05-14,21.7,-40.6,-23.0,17.1,-25.5
BIYA,2026-05-15,53.4,-23.3,10.6,3.9,8.1
BIYA,2026-05-22,67.6,60.5,0.0,26.9,-2.5
BIYA,2026-05-26,11.0,113.5,-29.3,-28.5,-31.8
BIYA,2026-06-10,78.7,31.5,-14.4,-16.5,-16.9
BJDX,2026-06-02,677.0,122.6,17.0,3.9,14.5
BNKK,2026-05-14,47.6,-20.1,3.4,-1.8,0.9
BNRG,2026-05-14,96.5,-21.6,-5.3,-14.7,-7.8
BNRG,2026-06-03,15.8,11.7,0.0,-14.3,-2.5
BNZI,2026-05-20,18.0,-45.7,2.1,-1.7,-0.4
BNZI,2026-06-15,12.7,3.9,-3.2,-6.8,-5.7
BQ,2026-05-12,27.3,6.7,14.3,9.7,11.8
BQ,2026-06-05,24.3,-2.4,10.4,9.3,7.9
BQ,2026-06-09,12.8,2.1,-20.5,7.6,-23.0
BQ,2026-06-10,208.2,7.8,33.7,36.0,31.2
BRCB,2026-05-13,11.1,-32.8,-7.0,-6.4,-9.5
BRR,2026-05-28,15.7,14.6,-5.1,-5.7,-7.6
BRTX,2026-05-27,333.1,125.2,21.2,10.6,18.7
BTCT,2026-06-09,36.3,17.5,-7.1,-7.1,-9.6
BTM,2026-05-18,12.0,-85.0,-2.9,-28.2,-5.4
BTOG,2026-06-09,19.1,-4.5,7.9,5.3,5.4
BWEN,2026-05-12,72.3,68.3,-4.9,-12.7,-7.4
BWEN,2026-05-13,12.9,51.6,-2.1,-0.8,-4.6
BYAH,2026-06-11,127.5,-16.0,-48.8,40.0,-51.3
BYAH,2026-06-12,79.1,19.6,-24.5,0.7,-27.0
BZFD,2026-05-11,43.5,-2.4,-18.2,90.4,-20.7
BZFD,2026-05-12,413.0,77.3,-1.5,-5.8,-4.0
BZFD,2026-05-13,34.3,60.8,5.6,1.5,3.1
CAEP,2026-05-12,28.9,16.1,-1.8,-1.1,-4.3
CALC,2026-06-05,15.2,42.4,-9.6,-9.6,-12.1
CAPS,2026-05-20,314.6,9.7,0.2,-14.0,-2.3
CAST,2026-06-11,62.2,-23.3,159.2,140.7,156.7
CAST,2026-06-12,913.5,108.7,-22.5,141.9,-25.0
CAST,2026-06-15,607.1,414.4,10.3,0.0,7.8
CCHH,2026-06-08,78.8,-20.7,4.6,-5.4,2.1
CCHH,2026-06-10,438.7,-24.4,-48.8,50.3,-51.3
CCHH,2026-06-11,129.0,21.0,2.4,-3.7,-0.1
CCO,2026-06-09,12.9,-0.4,0.8,0.4,-1.7
CCTG,2026-06-08,456.9,-11.3,-62.3,271.5,-64.8
CCTG,2026-06-09,1097.9,232.4,-21.3,-50.0,-23.8
CCTG,2026-06-10,53.8,65.4,14.5,5.9,12.0
CCU,2026-05-27,15.7,6.2,-0.9,-2.6,-3.4
CDT,2026-05-19,25.1,-40.1,-4.7,2.5,-7.2
CDT,2026-05-29,145.9,-13.3,-0.6,-13.9,-3.1
CDTG,2026-06-10,10.6,-61.0,15.4,-1.1,12.9
CGCT,2026-05-13,10.0,-0.1,0.1,0.1,-2.4
CGCT,2026-05-19,16.1,0.4,-0.2,-0.2,-2.7
CGTL,2026-05-11,42.2,41.0,-45.6,-53.9,-48.1
CGTL,2026-05-12,195.7,-33.2,-4.2,-8.0,-6.7
CGTL,2026-05-13,16.1,-35.8,0.2,-7.0,-2.3
CGTL,2026-05-28,220.3,47.8,1.5,-28.5,-1.0
CGTL,2026-06-09,162.5,-17.0,7.2,12.5,4.7
CHAI,2026-05-18,26.0,-10.7,-6.1,-7.7,-8.6
CHAI,2026-06-08,690.4,-25.5,-47.9,126.8,-50.4
