sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
026940.KS,✅ PASS,캔들신호 1종,상승펀치,-,44.0,,부국철강
323410.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,11.0,,카카오뱅크
073240.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,12.0,,금호타이어
033780.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,47.0,,KT&G
394800.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,27.0,,쓰리빌리언
389680.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,14.0,,유디엠텍
348370.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,8.0,,엔켐
027740.KS,⚠ CHECK,최근 상승캔들 없음,-,-,37.0,,마니커
032350.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,15.0,,롯데관광개발
388050.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,24.0,,지투파워
256840.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,6.0,,한국비엔씨
0010F0.KQ,⚠ CHECK,캔들수 부족(50<60),,,,,보원케미칼
092220.KS,⚠ CHECK,최근 상승캔들 없음,-,-,17.0,,KEC
358570.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,25.0,,지아이이노베이션
136480.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,3.0,✔,하림
009410.KS,⚠ CHECK,최근 상승캔들 없음,-,-,16.0,,태영건설
000430.KS,⚠ CHECK,최근 상승캔들 없음,-,-,32.0,,대원강업
281740.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,49.0,,레이크머티리얼즈
142210.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,36.0,,유니트론텍
459550.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,17.0,,알트
008970.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,15.0,,KBI동양철관
264850.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,23.0,,이랜시스
377300.KS,⚠ CHECK,최근 상승캔들 없음,-,-,14.0,,카카오페이
024740.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,14.0,,한일단조
404990.KS,⚠ CHECK,최근 상승캔들 없음,-,-,23.0,,신한서부티엔디리츠
060280.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,32.0,,큐렉소
005880.KS,⚠ CHECK,최근 상승캔들 없음,-,-,31.0,,대한해운
161890.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,46.0,,한국콜마
158430.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,6.0,,아톤
017800.KS,⚠ CHECK,최근 상승캔들 없음,-,-,12.0,,현대엘리베이터
039200.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,50.0,,오스코텍
095700.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,2.0,,제넥신
179900.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,3.0,,유티아이
010100.KS,⚠ CHECK,최근 상승캔들 없음,-,-,23.0,,한국무브넥스
004590.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,27.0,,한국가구
002990.KS,⚠ CHECK,최근 상승캔들 없음,-,-,37.0,,금호건설
067000.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,9.0,,조이시티
030610.KS,⚠ CHECK,최근 상승캔들 없음,-,-,32.0,,교보증권
355390.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,19.0,,크라우드웍스
298830.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,17.0,,슈어소프트테크
003000.KS,⚠ CHECK,최근 상승캔들 없음,-,-,40.0,,부광약품
114090.KS,⚠ CHECK,최근 상승캔들 없음,-,-,9.0,,GKL
036620.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,12.0,,감성코퍼레이션
091700.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,5.0,✔,파트론
047050.KS,⚠ CHECK,최근 상승캔들 없음,-,-,21.0,,포스코인터내셔널
017510.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,26.0,,세명전기
008770.KS,⚠ CHECK,최근 상승캔들 없음,-,-,45.0,,호텔신라
054920.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,17.0,,한컴위드
045390.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,20.0,,대아티아이
065450.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,2.0,,빅텍
089010.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,44.0,,켐트로닉스
432320.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,0.0,,KB스타리츠
051980.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,2.0,,중앙첨단소재
131400.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,17.0,,이브이첨단소재
262260.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,14.0,,에이프로
424870.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,7.0,,이뮨온시아
082270.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,26.0,,젬백스
012800.KS,⚠ CHECK,최근 상승캔들 없음,-,-,8.0,,대창
