ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
GOVX,2026-06-01,2.3,2.4,2.13,2.21,2034052.823207,2.06,2333656.960415,11.650485436893192,-3.913043478260864,4.8073333384549
GSOL,2026-06-15,5.54,5.705,5.4901,5.64,5401973.547616,5.0,4717784.27427,10.8,1.8050541516245424,23.588921371349997
HKIT,2026-06-05,0.3794,0.3851,0.23,0.2811,42453271.16188,0.33,15272336.660898,14.969696969696969,-25.909330521876644,5.03987109809634
HKIT,2026-06-11,0.4832,0.9131,0.48,0.559,222333791.130483,0.436,28275597.216321,10.8256880733945,15.687086092715239,12.328160386315956
HMY,2026-06-15,17.52,17.85,17.33,17.52,5479394.558188,15.86,4575408.945438,10.46658259773014,0.0,72.56598587464669
HODU,2026-06-15,12.37,12.8,12.04,12.19,299334.963884,11.02,335428.17115,12.250453720508164,-1.4551333872271603,3.696418446073
HTCO,2026-06-03,3.36,5.5,2.4998,3.07,2745286.490259,2.92,902610.6151565,15.068493150684931,-8.630952380952381,2.63562299625698
HUBC,2026-05-29,7.76,12.6138,4.912,5.222,68435900.401019,2.2,1039996.725569,252.7272727272727,-32.7061855670103,2.2879927962518005
HUBC,2026-06-01,10.572,11.356,8.4,10.3,20877010.804726,5.222,4087235.795353,102.45116813481421,-2.5728339008702092,21.343545323333366
HUBC,2026-06-03,14.476,16.4,10.848,12.992,14378508.634603,9.6,14005742.8349315,50.79166666666668,-10.251450676982591,134.4551312153424
HUBC,2026-06-05,4.6,4.998,3.5,3.82,4278120.018787,4.04,14378508.634603,13.861386138613852,-16.95652173913043,58.08917488379612
HUBC,2026-06-15,1.44,2.56,1.35,1.68,49368251.355884,1.18,3632696.169385,22.033898305084747,16.666666666666664,4.2865814798743
INFH,2026-06-15,14.02,15.12,13.965,14.3816,93847.306907,11.92,99052.4600255,17.617449664429525,2.5791726105563555,1.18070532350396
INFQ.WS,2026-06-02,9.85,11.05,9.72,10.46,348737.945434,8.91,234323.293473,10.54994388327721,6.192893401015241,2.08782054484443
IPWR,2026-06-08,6.88,7.18,5.95,5.98,1709494.023372,6.03,974124.620453,14.096185737976777,-13.081395348837201,5.87397146133159
IREZ,2026-06-04,5.3,5.63,5.169897,5.32,7676034.72058,4.77,9137229.931252,11.111111111111118,0.3773584905660465,43.584586772072036
ITRG,2026-06-15,2.78,2.88,2.7,2.72,6793985.325298,2.52,3605341.188306,10.31746031746031,-2.15827338129495,9.08545979453112
LASE,2026-06-03,3.515,4.49,3.02,3.13,228896105.844318,2.42,914381.4783125,45.24793388429753,-10.95305832147938,2.2128031775162498
LASE,2026-06-05,4.025,4.12,3.0,3.1,40932338.397671,3.62,2549179.525767,11.187845303867409,-22.981366459627335,9.228029883276541
